INDV	N_DATA	N_GENOTYPES_FILTERED	N_MISS	F_MISS
AMNH135435GaeVE	1843	0	1091	0.59197
ANRA10GbrBR	1843	0	108	0.0586001
ANRA12GbrBR	1843	0	669	0.362995
BM10678GaeBR	1843	0	105	0.0569723
BM17058GaeBR	1843	0	308	0.167119
BML1493IndetBR	1843	0	1148	0.622897
CMARF1568GbrBR	1843	0	761	0.412914
CMARF1569GbrBR	1843	0	251	0.136191
CN029GaeBR	1843	0	175	0.0949539
CN048GaeBR	1843	0	182	0.098752
CN158GaeBR	1843	0	225	0.122084
CN160GaeBR	1843	0	195	0.105806
CN175GaeBR	1843	0	716	0.388497
CN201GaeBR	1843	0	263	0.142702
CN230SpuBR	1843	0	230	0.124797
CN241GaeBR	1843	0	583	0.316332
CN269GaeBR	1843	0	125	0.0678242
CN270GaeBR	1843	0	736	0.399349
CN294GaeBR	1843	0	300	0.162778
DICO001NpuBR	1843	0	611	0.331525
DTM277GbrBR	1843	0	244	0.132393
DTM41GbrBR	1843	0	98	0.0531742
EFA41GbrBR	1843	0	343	0.18611
ENM13GaeBR	1843	0	185	0.10038
FMNH141601GbrBR	1843	0	74	0.0401519
FZB3514GbrBR	1843	0	1535	0.832881
GTG54GbrBR	1843	0	274	0.148671
GTG55GbrBR	1843	0	185	0.10038
IEPA3704GaeBR	1843	0	636	0.34509
IEPA4384GaeBR	1843	0	634	0.344004
ISEMT1758GaeFG	1843	0	648	0.351601
ISEMT5176GaeFG	1843	0	638	0.346175
ISEMT6101GaeFG	1843	0	1034	0.561042
JMIJ35GaeBR	1843	0	78	0.0423223
LMUSP301GbrBR	1843	0	126	0.0683668
MCN866GbrBR	1843	0	1048	0.568638
MCNM1388GbrBR	1843	0	585	0.317417
MCNM2944GbrBr	1843	0	760	0.412371
MCNU3683GbrBR	1843	0	415	0.225176
MNMN56819GaeBR	1843	0	639	0.346717
MPEG45441GaeBR	1843	0	254	0.137819
MTR0192GbrBR	1843	0	272	0.147585
MTR0444GbrBR	1843	0	140	0.0759631
MTR1128GbrBR	1843	0	335	0.181769
MTR1785GbrBR	1843	0	219	0.118828
MTR1821GbrBR	1843	0	140	0.0759631
MVZ182070GbrBR	1843	0	71	0.0385241
MVZ182071GbrBR	1843	0	127	0.0689094
MVZ192702GbrBR	1843	0	157	0.0851872
MVZ200389GbrBR	1843	0	216	0.1172
PECC03GbrBR	1843	0	1103	0.598481
PECC26GbrBR	1843	0	172	0.0933261
RETA15IndetBR	1843	0	249	0.135106
UFES1063GbrBR	1843	0	272	0.147585
UFES119GbrBR	1843	0	403	0.218665
UFES14GbrBR	1843	0	390	0.211612
UFES223GbrBR	1843	0	220	0.119371
UFES3776GbrBR	1843	0	378	0.2051
UFES3817GbrBR	1843	0	536	0.29083
UFES4256GaeBR	1843	0	461	0.250136
UFES614GbrBR	1843	0	300	0.162778
UFES85GbrBR	1843	0	523	0.283776
UFSC2930GbrBR	1843	0	1005	0.545307
UFSC4047GbrBR	1843	0	1147	0.622355
USNM549526GaeBR	1843	0	183	0.0992946
USNM560645GaeVE	1843	0	716	0.388497
USNM599925GaeGU	1843	0	213	0.115572
